"","U1","U2","U3","U4"
"2006/1/5 0:00","0.786170510551302","0.945418838425063","0.639062917279296","0.472118966700878"
"2006/1/6 0:00","0.699586602767288","0.596164179037699","0.645222004985195","0.809227536016321"
"2006/1/9 0:00","0.550898166042419","0.598083787186522","0.845776401459582","0.651271250143537"
"2006/1/10 0:00","0.515159371277692","0.604726582813955","0.543015197847196","0.460645365948127"
"2006/1/11 0:00","0.162015414278551","0.211505195105108","0.671761670463367","0.637499062703447"
"2006/1/12 0:00","0.791452115210906","0.797748095440725","0.652887347761508","0.18581312788171"
"2006/1/13 0:00","0.243012828955759","0.186474191354088","0.657505791231732","0.505824027487566"
"2006/1/16 0:00","0.0683294000741611","0.108465169839073","0.450129004495479","0.458485944178432"
"2006/1/17 0:00","0.543287494761258","0.79011174377786","0.11129402527134","0.266761316254817"
"2006/1/18 0:00","0.916331734780334","0.960404169256944","0.244612533815278","0.250816440321696"
"2006/1/19 0:00","0.825975996227564","0.755950452139862","0.867367136676351","0.729044499190845"
"2006/1/20 0:00","0.476516685884014","0.418123635306312","0.459766307506824","0.0191470487687086"
"2006/1/23 0:00","0.38120999438215","0.485592051604717","0.108517678819535","0.50284297289505"
"2006/1/24 0:00","0.268927107924704","0.815861151082672","0.655058067860448","0.571601391848347"
"2006/1/25 0:00","0.547552611937009","0.807008208748828","0.447516954547061","0.38545653663701"
"2006/2/6 0:00","0.954061640843867","0.977549770888539","0.561108692881695","0.470877047211712"
"2006/2/7 0:00","0.226278011885085","0.450251492270262","0.380823976294681","0.135055935866683"
"2006/2/8 0:00","0.596837462919677","0.317358672880097","0.146459510117489","0.806905188988622"
"2006/2/9 0:00","0.0486802553892877","0.0788757494716105","0.599173599972289","0.405755191603262"
"2006/2/10 0:00","0.735246608508184","0.870680352435934","0.518278429123774","0.594106227649833"
"2006/2/13 0:00","0.289500188330725","0.335340259919908","0.181742647750153","0.291208217895788"
"2006/2/14 0:00","0.56557443619321","0.724527936312274","0.788093015219407","0.882396778017003"
"2006/2/15 0:00","0.737748911986489","0.673620395095016","0.488884632963847","0.689587734748475"
"2006/2/16 0:00","0.0220956350012964","0.0640197846743342","0.574378487747467","0.851216092161549"
"2006/2/17 0:00","0.297524423059888","0.632999440783853","0.56796328418248","0.369053099536081"
"2006/2/20 0:00","0.38324610259284","0.59708506083312","0.839309912362653","0.44596493724142"
"2006/2/21 0:00","0.878537842301884","0.839147890456188","0.592508489827481","0.237052767919998"
"2006/2/22 0:00","0.267832485386452","0.504742385219178","0.505445439563225","0.858045089280432"
"2006/2/23 0:00","0.510145155407303","0.444026740999239","0.921695341856455","0.227255106729597"
"2006/2/24 0:00","0.614555713264245","0.75348986686654","0.656525637749685","0.525797016053043"
"2006/2/27 0:00","0.372175178586678","0.145813541472575","0.792163220642973","0.706607377600658"
"2006/2/28 0:00","0.417949165676554","0.555717126604765","0.354219366980175","0.0371786378928266"
"2006/3/1 0:00","0.610358800820947","0.715701554685327","0.166547195901961","0.848170264502961"
"2006/3/2 0:00","0.034486138385092","0.18945118264272","0.711266424244791","0.367387042860303"
"2006/3/3 0:00","0.615424507081891","0.563023416452333","0.211217826893868","0.349503406210592"
"2006/3/6 0:00","0.241944295430326","0.274572187045274","0.503586661854985","0.109622397440944"
"2006/3/7 0:00","0.0175055906251401","0.0204304405715715","0.0437641948073665","0.322331970830894"
"2006/3/8 0:00","0.168869170400798","0.211047758240555","0.157275224871076","0.565465754998521"
"2006/3/9 0:00","0.257671946191232","0.327927511921367","0.528753284507025","0.193648340129081"
"2006/3/10 0:00","0.410800534319019","0.752308526270407","0.265469175968366","0.820742620700783"
"2006/3/13 0:00","0.794755391021874","0.912144444887237","0.784937041320429","0.602943851269601"
"2006/3/14 0:00","0.370354671315991","0.392320415924867","0.392043218771918","0.930601285748295"
"2006/3/15 0:00","0.831991712548773","0.831896182528018","0.938935947700531","0.770993454821761"
"2006/3/16 0:00","0.364649455500335","0.434477173522437","0.519691796235113","0.606104361030136"
"2006/3/17 0:00","0.24760889186397","0.392839599168","0.731717302676897","0.572320087129155"
"2006/3/20 0:00","0.885183564379036","0.851491639875871","0.860111952900307","0.307894355778878"
"2006/3/21 0:00","0.443353980473499","0.724939862322646","0.447625546214866","0.0914306680360098"
